     1	104.029
     2	34.008
     3	34.978
     4	41.927
     5	39.201
     6	37.872
     7	35.496
     8	36.409
     9	39.288
    10	43.341
    11	38.476
    12	35.486
    13	37.895
    14	45.016
    15	38.822
    16	36.572
    17	35.363
    18	35.859
    19	39.958
    20	50.119
    21	35.684
    22	39.704
    23	36.284
    24	40.854
    25	37.031
    26	42.795
    27	41.503
    28	33.033
    29	36.929
    30	44.857
    31	45.619
    32	35.307
    33	36.851
    34	36.004
    35	41.234
    36	38.019
    37	37.570
    38	35.817
    39	37.265
    40	38.777
    41	41.304
    42	42.181
    43	35.790
    44	38.217
    45	38.340
    46	43.336
    47	40.040
    48	32.681
    49	36.281
    50	37.412
    51	37.371
    52	36.479
    53	32.855
    54	38.590
    55	43.110
    56	34.432
    57	32.742
    58	44.995
    59	37.635
    60	38.636
    61	39.202
    62	35.963
    63	41.824
    64	56.947
    65	35.105
    66	34.935
    67	36.307
    68	44.786
    69	40.796
    70	40.645
    71	38.104
    72	37.866
    73	34.697
    74	40.015
    75	38.912
    76	40.503
    77	36.384
    78	34.313
    79	38.963
    80	44.103
    81	46.094
    82	37.383
    83	37.145
    84	37.996
    85	37.761
    86	34.793
    87	36.640
    88	40.689
    89	38.696
    90	36.183
    91	36.968
    92	36.677
    93	36.495
    94	44.537
    95	38.490
    96	41.546
    97	35.344
    98	39.610
    99	38.098
   100	37.397
   101	33.693
   102	35.627
   103	36.735
   104	39.186
   105	40.131
   106	33.019
   107	39.276
   108	39.195
   109	37.372
   110	38.352
   111	37.681
   112	37.271
   113	43.964
   114	36.871
   115	35.525
   116	38.367
   117	39.975
   118	34.344
   119	37.153
   120	40.620
   121	36.993
   122	36.808
   123	35.416
   124	37.659
   125	41.455
   126	37.300
   127	42.530
   128	37.761
   129	39.208
   130	36.091
   131	35.838
   132	37.063
   133	39.041
   134	35.714
   135	37.784
   136	39.871
   137	42.037
   138	37.466
   139	36.987
   140	45.079
   141	37.240
   142	37.724
   143	34.244
   144	33.182
   145	36.033
   146	39.583
   147	35.104
   148	38.926
   149	39.760
   150	32.449
   151	36.730
   152	44.361
   153	39.161
   154	47.693
   155	37.201
   156	36.314
   157	40.588
   158	36.777
   159	32.320
   160	48.977
   161	36.936
   162	34.081
   163	34.073
   164	46.968
   165	35.575
   166	35.559
   167	35.527
   168	36.910
   169	33.594
   170	36.472
   171	45.742
   172	37.317
   173	36.799
   174	35.929
   175	35.069
   176	32.929
   177	37.320
   178	33.000
   179	37.298
   180	36.799
   181	52.033
   182	37.439
   183	37.023
   184	36.357
   185	33.555
   186	41.676
   187	39.592
   188	51.049
   189	39.036
   190	35.095
   191	42.787
   192	35.596
   193	33.510
   194	33.568
   195	37.062
   196	44.453
   197	46.500
   198	34.508
   199	37.189
   200	42.694
